gameweek_id,gameweek_name,deadline_time,average_score,highest_score,most_selected,most_transferred_in,most_captained,most_vice_captained,top_element,transfers_made,finished,is_current,is_previous,season,is_next
1,Gameweek 1,2025-08-15 17:30:00+00:00,54,127,235,1,381,235,531,0,True,False,False,2526,False
2,Gameweek 2,2025-08-22 17:30:00+00:00,51,140,235,427,381,235,8,18178809,True,False,False,2526,False
3,Gameweek 3,2025-08-30 10:00:00+00:00,48,118,249,82,430,381,260,27802596,True,False,False,2526,False
4,Gameweek 4,2025-09-13 10:00:00+00:00,63,139,249,419,381,249,26,27408255,True,False,False,2526,False
5,Gameweek 5,2025-09-20 10:00:00+00:00,42,112,249,82,381,249,660,16533109,True,False,False,2526,False
6,Gameweek 6,2025-09-27 10:00:00+00:00,46,124,249,430,430,249,683,22147208,True,False,False,2526,False
7,Gameweek 7,2025-10-03 17:30:00+00:00,60,135,249,430,430,381,82,16350776,True,False,False,2526,False
8,Gameweek 8,2025-10-18 10:00:00+00:00,56,138,430,714,430,82,225,16106510,True,False,False,2526,False
9,Gameweek 9,2025-10-24 17:30:00+00:00,46,124,430,714,430,82,575,12369350,True,False,False,2526,False
10,Gameweek 10,2025-11-01 13:30:00+00:00,65,135,430,119,430,82,169,14380415,True,False,False,2526,False
11,Gameweek 11,2025-11-08 11:00:00+00:00,38,120,430,283,430,82,228,10882725,True,False,False,2526,False
12,Gameweek 12,2025-11-22 11:00:00+00:00,39,134,430,119,430,430,266,13914718,True,False,False,2526,False
13,Gameweek 13,2025-11-29 13:30:00+00:00,35,123,430,136,430,381,684,16415537,True,False,False,2526,False
14,Gameweek 14,2025-12-02 18:00:00+00:00,58,138,430,136,430,430,414,9442288,True,False,False,2526,False
15,Gameweek 15,2025-12-06 11:00:00+00:00,49,133,430,414,430,1,449,11765293,True,False,False,2526,False
16,Gameweek 16,2025-12-13 13:30:00+00:00,60,149,430,414,430,430,516,24497356,True,False,False,2526,False
17,Gameweek 17,2025-12-20 11:00:00+00:00,66,148,430,329,430,414,107,16356600,True,False,False,2526,False
18,Gameweek 18,2025-12-26 18:30:00+00:00,44,118,430,661,430,414,120,16835174,True,False,False,2526,False
19,Gameweek 19,2025-12-30 18:00:00+00:00,40,112,430,450,430,430,303,15084299,True,False,False,2526,False
20,Gameweek 20,2026-01-03 11:00:00+00:00,42,117,430,5,430,661,136,10282852,True,False,False,2526,False
21,Gameweek 21,2026-01-06 18:30:00+00:00,48,118,430,5,430,414,487,10609899,True,False,False,2526,False
22,Gameweek 22,2026-01-17 11:00:00+00:00,40,111,430,5,430,430,441,12244354,True,False,False,2526,False
23,Gameweek 23,2026-01-24 11:00:00+00:00,44,115,430,449,430,136,387,8986548,True,False,False,2526,False
24,Gameweek 24,2026-01-31 13:30:00+00:00,55,126,430,449,430,430,18,14084799,True,False,False,2526,False
25,Gameweek 25,2026-02-06 18:30:00+00:00,58,147,430,249,430,430,235,10565045,True,False,False,2526,False
26,Gameweek 26,2026-02-10 18:00:00+00:00,58,138,430,666,430,430,373,10933870,True,False,False,2526,False
27,Gameweek 27,2026-02-21 13:30:00+00:00,45,117,430,249,430,430,411,8668376,True,False,False,2526,False
28,Gameweek 28,2026-02-27 18:30:00+00:00,53,125,430,373,430,449,121,8235195,True,False,False,2526,False
29,Gameweek 29,2026-03-03 18:00:00+00:00,54,143,430,661,430,82,249,8012299,True,False,False,2526,False
30,Gameweek 30,2026-03-14 13:30:00+00:00,43,110,430,249,430,82,55,7392015,True,False,False,2526,False
31,Gameweek 31,2026-03-20 18:30:00+00:00,38,109,249,684,430,249,311,19361841,True,False,False,2526,False
32,Gameweek 32,2026-04-10 17:30:00+00:00,46,132,430,151,430,430,606,11209415,True,False,False,2526,False
33,Gameweek 33,2026-04-18 10:00:00+00:00,66,177,430,691,430,82,515,16755835,True,False,False,2526,False
34,Gameweek 34,2026-04-24 17:30:00+00:00,36,114,430,64,430,449,526,24247093,True,False,False,2526,False
35,Gameweek 35,2026-05-01 17:30:00+00:00,50,129,430,417,430,449,527,8319244,True,False,False,2526,False
36,Gameweek 36,2026-05-09 10:00:00+00:00,65,145,430,417,430,449,145,9092077,True,False,False,2526,False
37,Gameweek 37,2026-05-15 17:30:00+00:00,53,131,430,666,430,449,64,6365648,True,False,True,2526,False
38,Gameweek 38,2026-05-24 13:30:00+00:00,41,117,430,624,430,449,441,8603009,True,True,False,2526,False
