id,code,first_name,second_name,web_name,photo,element_type,season
1,154561,David,Raya Martín,Raya,https://resources.premierleague.com/premierleague25/photos/players/110x140/154561.png,1,2526
2,109745,Kepa,Arrizabalaga Revuelta,Arrizabalaga,https://resources.premierleague.com/premierleague25/photos/players/110x140/109745.png,1,2526
3,463748,Karl,Hein,Hein,https://resources.premierleague.com/premierleague25/photos/players/110x140/463748.png,1,2526
4,551221,Tommy,Setford,Setford,https://resources.premierleague.com/premierleague25/photos/players/110x140/551221.png,1,2526
5,226597,Gabriel,dos Santos Magalhães,Gabriel,https://resources.premierleague.com/premierleague25/photos/players/110x140/226597.png,2,2526
6,462424,William,Saliba,Saliba,https://resources.premierleague.com/premierleague25/photos/players/110x140/462424.png,2,2526
7,466075,Riccardo,Calafiori,Calafiori,https://resources.premierleague.com/premierleague25/photos/players/110x140/466075.png,2,2526
8,445122,Jurriën,Timber,J.Timber,https://resources.premierleague.com/premierleague25/photos/players/110x140/445122.png,2,2526
9,440854,Jakub,Kiwior,Kiwior,https://resources.premierleague.com/premierleague25/photos/players/110x140/440854.png,2,2526
10,499169,Myles,Lewis-Skelly,Lewis-Skelly,https://resources.premierleague.com/premierleague25/photos/players/110x140/499169.png,2,2526
11,198869,Benjamin,White,White,https://resources.premierleague.com/premierleague25/photos/players/110x140/198869.png,2,2526
13,563324,Brayden,Clarke,Clarke,https://resources.premierleague.com/premierleague25/photos/players/110x140/563324.png,2,2526
14,588793,Maldini,Kacurri,Kacurri,https://resources.premierleague.com/premierleague25/photos/players/110x140/588793.png,2,2526
15,499167,Josh,Nichols,Nichols,https://resources.premierleague.com/premierleague25/photos/players/110x140/499167.png,2,2526
16,223340,Bukayo,Saka,Saka,https://resources.premierleague.com/premierleague25/photos/players/110x140/223340.png,3,2526
17,184029,Martin,Ødegaard,Ødegaard,https://resources.premierleague.com/premierleague25/photos/players/110x140/184029.png,3,2526
18,248857,Noni,Madueke,Madueke,https://resources.premierleague.com/premierleague25/photos/players/110x140/248857.png,3,2526
19,444145,Gabriel,Martinelli Silva,Martinelli,https://resources.premierleague.com/premierleague25/photos/players/110x140/444145.png,3,2526
20,116216,Leandro,Trossard,Trossard,https://resources.premierleague.com/premierleague25/photos/players/110x140/116216.png,3,2526
21,204480,Declan,Rice,Rice,https://resources.premierleague.com/premierleague25/photos/players/110x140/204480.png,3,2526
22,195384,Mikel,Merino Zazón,Merino,https://resources.premierleague.com/premierleague25/photos/players/110x140/195384.png,3,2526
23,438098,Fábio,Ferreira Vieira,Fábio Vieira,https://resources.premierleague.com/premierleague25/photos/players/110x140/438098.png,3,2526
24,128295,Christian,Nørgaard,Nørgaard,https://resources.premierleague.com/premierleague25/photos/players/110x140/128295.png,3,2526
25,499175,Ethan,Nwaneri,Nwaneri,https://resources.premierleague.com/premierleague25/photos/players/110x140/499175.png,3,2526
26,481655,Martín,Zubimendi Ibáñez,Zubimendi,https://resources.premierleague.com/premierleague25/photos/players/110x140/481655.png,3,2526
28,588796,Ismeal,Kabia,Kabia,https://resources.premierleague.com/premierleague25/photos/players/110x140/588796.png,3,2526
29,437742,Albert,Sambi Lokonga,Sambi,https://resources.premierleague.com/premierleague25/photos/players/110x140/437742.png,3,2526
30,219847,Kai,Havertz,Havertz,https://resources.premierleague.com/premierleague25/photos/players/110x140/219847.png,4,2526
31,205651,Gabriel,Fernando de Jesus,G.Jesus,https://resources.premierleague.com/premierleague25/photos/players/110x140/205651.png,4,2526
266,232413,Eberechi,Eze,Eze,https://resources.premierleague.com/premierleague25/photos/players/110x140/232413.png,3,2526
662,500040,Cristhian,Mosquera,Mosquera,https://resources.premierleague.com/premierleague25/photos/players/110x140/500040.png,2,2526
666,224117,Viktor,Gyökeres,Gyökeres,https://resources.premierleague.com/premierleague25/photos/players/110x140/224117.png,4,2526
700,616077,Max,Dowman,Dowman,https://resources.premierleague.com/premierleague25/photos/players/110x140/616077.png,3,2526
711,646243,Andre,Harriman-Annous,Harriman-Annous,https://resources.premierleague.com/premierleague25/photos/players/110x140/646243.png,3,2526
725,448104,Piero,Hincapié,Hincapie,https://resources.premierleague.com/premierleague25/photos/players/110x140/448104.png,2,2526
759,616065,Marli,Salmon,Salmon,https://resources.premierleague.com/premierleague25/photos/players/110x140/616065.png,2,2526
32,98980,Emiliano,Martínez Romero,Martinez,https://resources.premierleague.com/premierleague25/photos/players/110x140/98980.png,1,2526
