team_id,team_name,team_short_name,team_code,badge_url,season
1,Arsenal,ARS,3,https://resources.premierleague.com/premierleague/badges/70/t3.png,2627
2,Aston Villa,AVL,7,https://resources.premierleague.com/premierleague/badges/70/t7.png,2627
3,Bournemouth,BOU,91,https://resources.premierleague.com/premierleague/badges/70/t91.png,2627
4,Brentford,BRE,94,https://resources.premierleague.com/premierleague/badges/70/t94.png,2627
5,Brighton,BHA,36,https://resources.premierleague.com/premierleague/badges/70/t36.png,2627
6,Chelsea,CHE,8,https://resources.premierleague.com/premierleague/badges/70/t8.png,2627
7,Coventry City,COV,9,https://resources.premierleague.com/premierleague/badges/70/t9.png,2627
8,Crystal Palace,CRY,31,https://resources.premierleague.com/premierleague/badges/70/t31.png,2627
9,Everton,EVE,11,https://resources.premierleague.com/premierleague/badges/70/t11.png,2627
10,Fulham,FUL,54,https://resources.premierleague.com/premierleague/badges/70/t54.png,2627
11,Hull City,HUL,88,https://resources.premierleague.com/premierleague/badges/70/t88.png,2627
12,Ipswich Town,IPS,40,https://resources.premierleague.com/premierleague/badges/70/t40.png,2627
13,Leeds,LEE,2,https://resources.premierleague.com/premierleague/badges/70/t2.png,2627
14,Liverpool,LIV,14,https://resources.premierleague.com/premierleague/badges/70/t14.png,2627
15,Man City,MCI,43,https://resources.premierleague.com/premierleague/badges/70/t43.png,2627
16,Man Utd,MUN,1,https://resources.premierleague.com/premierleague/badges/70/t1.png,2627
17,Newcastle,NEW,4,https://resources.premierleague.com/premierleague/badges/70/t4.png,2627
18,Nott'm Forest,NFO,17,https://resources.premierleague.com/premierleague/badges/70/t17.png,2627
19,Spurs,TOT,6,https://resources.premierleague.com/premierleague/badges/70/t6.png,2627
20,Sunderland,SUN,56,https://resources.premierleague.com/premierleague/badges/70/t56.png,2627
